DATE,RAIN,T.MAX,T.MIN,T.MIN.G,WIND
1961-01-01,-0.4181329998753074,-0.825025725002527,-0.6172716432272591,-0.6901852843184642,13.67
1961-01-02,0.7976808950168082,-1.3192839611718434,-0.503447137841249,-0.3023095439802584,11.5
1961-01-03,-0.36850794294093525,-1.6846052661665556,-1.3457484776977242,-0.5978339175712724,11.25
1961-01-04,-0.4181329998753074,-1.663115777637455,-1.3685133787749262,-1.0965312980061084,8.63
1961-01-05,2.112744903777668,-1.3192839611718434,-1.801046499241765,-1.8907530520319582,11.92
1961-01-06,-0.4677580568096794,-1.4697103808755485,-1.18639417015731,-0.8748880178128479,10.67
1961-01-07,0.0036799840668551953,-0.8894941905898293,-2.005930608936583,-1.8168719586342046,9.17
1961-01-08,-0.4677580568096794,-1.448220892346448,-0.7538610496904714,-0.5054825508240804,14.29
1961-01-09,1.5916818059667615,-1.4052419152882465,-0.9132153572308855,-0.6532447376195873,8.04
1961-01-10,-0.4677580568096794,-1.4697103808755485,-0.7766259507676734,-0.41313118407688865,11.42
1961-01-11,-0.34369541447374924,-0.7175782823570234,-2.1652849164769976,-1.9276935987308348,7.54
1961-01-12,1.0209936512214826,-0.24480953471680778,-2.2108147186314016,0.0006029389505308946,15.54
1961-01-13,-0.4677580568096794,-0.05140413795490123,-0.20750342383762255,0.1040364697073857,4.63
1961-01-14,-0.4677580568096794,-1.663115777637455,-2.1880498175541994,-1.632169225139821,3.08
1961-01-15,-0.4677580568096794,-1.9209896399866635,-2.597818036943836,-2.038515238827465,2.5
1961-01-16,-0.4677580568096794,-1.8780106629284623,-2.4156988283262195,-2.038515238827465,9.25
1961-01-17,0.02849251253404125,-0.8680047020607282,-0.7310961486132693,-1.0041799312589166,13.42
1961-01-18,1.6164943344339475,-0.6960887938279228,-0.480682236764047,0.43650138999727633,17.83
1961-01-19,-0.2444453006050051,-1.448220892346448,-1.0953345658485019,-0.8748880178128479,3.71
1961-01-20,4.866935563635318,-0.8680047020607282,-1.5961623895469466,-1.5028773116937524,3.17
1961-01-21,-0.4181329998753074,-0.6960887938279228,-1.0953345658485019,-0.431601457426327,8.04
1961-01-22,-0.3933204714081213,-1.4697103808755485,-0.20750342383762255,-0.26536899728138164,9.38
1961-01-23,-0.4677580568096794,-1.4697103808755485,-0.20750342383762255,-0.0991365371364363,13.7
1961-01-24,1.8894321475729936,-1.7275842432247575,-0.6855663464588653,-0.41313118407688865,20.38
1961-01-25,-0.4677580568096794,-1.9424791285157645,-0.9587451593852896,-0.3023095439802584,9.25
1961-01-26,-0.2940703575393772,-0.07289362648400187,-0.9587451593852896,-0.8010069244150944,14.33
1961-01-27,-0.09557012980188892,-0.22332004618770673,-0.6172716432272591,-0.00678517038924446,16.79
1961-01-28,0.22699274027152946,-0.287788511775009,-0.36685773137803684,-0.9118285645117247,12.25
1961-01-29,1.0706187081558547,-0.15885158060040483,-0.45791733568684484,-0.28383927063082004,22.0
1961-01-30,-0.12038265826907497,-1.1903470299972392,-0.6172716432272591,-0.3577203640285735,14.5
1961-01-31,0.6984307811480641,-1.3192839611718434,-0.9815100604624918,-0.5978339175712724,14.88
1961-02-01,0.05330504100122731,-0.9969416332353329,-1.2319239723117141,-0.9118285645117247,10.17
1961-02-02,-0.44294552834249334,-1.1258785644099372,-1.2319239723117141,-0.3207798173296968,10.88
1961-02-03,0.5247430818777619,-1.1258785644099372,-1.5961623895469466,-1.428996218295999,8.5
1961-02-04,0.9465560658199245,-0.43821493147871393,-1.4595729830837345,-0.7086555576679026,12.54
1961-02-05,1.6661193913683192,0.034553816161501716,-0.38962263245523876,-0.1176068104858747,13.96
1961-02-06,-0.34369541447374924,-1.1903470299972392,-0.9815100604624918,-0.22842845058250494,19.17
1961-02-07,-0.3933204714081213,-0.37374646589141197,-0.7310961486132693,-0.37619063737801184,14.21
1961-02-08,0.6239931957465061,0.2709381899816095,-0.45791733568684484,-0.06219599043755962,16.5
1961-02-09,-0.3933204714081213,-0.3522569773623114,-0.0026193141428041615,0.08556619635794739,14.37
1961-02-10,-0.26925782907219115,-0.5671518626533185,0.20226479555201402,0.067095923008509,11.08
1961-02-11,0.40068043954183175,-0.43821493147871393,0.20226479555201402,0.19638783645457755,17.5
1961-02-12,-0.4677580568096794,0.46434358674351606,0.1567349933976099,0.2887392032017694,11.71
1961-02-13,-0.4677580568096794,-0.13736209207130418,0.5437383117100447,0.6027338501422217,16.08
1961-02-14,-0.4677580568096794,-0.008425160896699566,0.816917124636469,0.916728497082674,15.46
1961-02-15,-0.4677580568096794,0.09902228174880402,-0.8904504561536836,-1.1150015713555466,5.17
1961-02-16,-0.4677580568096794,-0.26629902324590843,-0.8904504561536836,-0.9857096579094781,3.42
1961-02-17,-0.4677580568096794,-0.3522569773623114,-0.45791733568684484,-0.579363644221834,6.17
1961-02-18,-0.4677580568096794,-0.008425160896699566,-0.09367891845161239,0.2887392032017694,10.88
1961-02-19,-0.4677580568096794,0.2494487014525089,0.4071489052468322,-0.579363644221834,9.62
1961-02-20,-0.4677580568096794,-0.05140413795490123,-0.25303322599202666,-0.7825366510656561,7.25
1961-02-21,-0.4677580568096794,-1.0184311217644335,-0.38962263245523876,-0.8933582911622862,3.75
1961-02-22,-0.4677580568096794,-1.2548154955845414,-0.29856302814643076,-0.04372571708812123,8.25
1961-02-23,0.6736182526808779,-0.9754521447062319,-0.29856302814643076,-0.0991365371364363,16.38
1961-02-24,-0.2940703575393772,-0.5026833970660162,-0.07091401737441043,0.30720947655120784,8.17
